Name;Pin;Balance;Account Number
Rafip;123456;1000;456789
Reni;654321;2000;123456
Restu;98765;3000;654321
Rezki;567890;4000;98765
Robert;102938;5000;567890
Riswanda;382910;6000;102938
Dimas;234567;7000;382910
Denny;765432;8000;234567
Winda;345678;9000;765432
Hanip;456789;10000;456782
Yusa;123456;1000;456781
Kumal;654321;2000;123457
Santoz;98765;3000;654323
Oksa;567890;4000;98766
Lantip;102938;5000;567891
Latu;382910;6000;102939
Wanda;234567;7000;382912
Kris;765432;8000;234568
Kadek;345678;9000;765433
Hanifoci;456789;10000;456782
Lukas;456763;9000;456710
Yoga;457789;8000;765444
Bambang;123321;8500;567811
Raigor;215432;8000;654331
Gondar;345679;9000;455789
